Item#,Mfg Name,Mfg Part Number,Supplier,Mouser Part Number,Value,Designator,Description,GP Part No.,GP Description,Board Qty,Order Qty,Unit Price,Subtotal,STOCK,LEAD TIME,MIN,MIN PRICE,MULT,ROHS,NCNR,PACKAGE TYPE,LIFECYCLE,QUOTED MFG PART NUMBER,QUOTED MFG,MOUSER PART NUMBER,DESCRIPTION,DATA SHEET URL
12,Susumu,RR1220P-105-D,Mouser,754-RR1220P-105D,1M,R36,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/10W 1Mohm 0.5% 25ppm,,,1,15,,0,,,,,,Yes,,,,RR1220P-105-D,Susumu,754-RR1220P-105D,Thin Film Resistors - SMD 1/10W 1Mohm 0.5% 25ppm,http://www.mouser.com/ds/2/392/susumu_RR_Data_Sheet-358748.pdf
13,Vishay,CRCW060368R0JNEA,Mouser,71-CRCW0603J-68-E3,68,R39,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10watt 68ohms 5%,R63-10168.0-CT ,RES 68 OHM 1/10W 1% 0603 SMD,1,15,,0,,,,,,Yes,,,,CRCW060368R0JNEA,Vishay,71-CRCW0603J-68-E3,Thick Film Resistors - SMD 1/10watt 68ohms 5%,http://www.mouser.com/ds/2/427/dcrcwe3-109170.pdf
14,Susumu,RR0816P-103-D,Mouser,754-RR0816P-103D,10.0k,R40 R41 R46,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/16W 10Kohm 0.5% 25ppm,,,3,45,,0,,,,,,Yes,,,,RR0816P-103-D,Susumu,754-RR0816P-103D,Thin Film Resistors - SMD 1/16W 10Kohm 0.5% 25ppm,http://www.mouser.com/ds/2/392/susumu_RR_Data_Sheet-358748.pdf
15,Susumu,RR0816P-8451-D-90H,Mouser,754-RR0816P-8451D90H,8.45k,R42,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/16W 8.45Kohm 0.5% 25ppm,,,1,15,,0,,,,,,Yes,,,,RR0816P-8451-D-90H,Susumu,754-RR0816P-8451D90H,Thin Film Resistors - SMD 1/16W 8.45Kohm 0.5% 25ppm,http://www.mouser.com/ds/2/392/susumu_RR_Data_Sheet-358748.pdf
16,Vishay,CRCW06030000Z0EB,Mouser,71-CRCW06030000Z0EB,0,R43,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10watt ZEROohm Jumper,R63-1010.0-CT,RES 0.0 OHM 1/10W JUMP 0603 SMD,1,15,,0,,,,,,Yes,,,,CRCW06030000Z0EB,Vishay,71-CRCW06030000Z0EB,Thick Film Resistors - SMD 1/10watt ZEROohm Jumper,http://www.mouser.com/ds/2/427/dcrcwe3-109170.pdf
17,Texas Instruments,ADS1299IPAG,Mouser,595-ADS1299IPAG,ADS1299,U1,"Analog to Digital Converters - ADC Analog to Digital Converters - ADC Low-Noise,8-Ch,24B AFE",,,1,15,,0,,,,,,Yes,,,,ADS1299IPAG,Texas Instruments,595-ADS1299IPAG,"Analog to Digital Converters - ADC Low-Noise,8-Ch,24B AFE",http://www.ti.com/litv/pdf/sbaa147b
18,ON Semiconductor,Z0109MNT1G,Mouser,863-Z0109MNT1G,Z0109MNT1G,U2,Triacs SENSITIVE GATE TRIAC,,,1,15,,0,,,,,,Yes,,,,Z0109MNT1G,ON Semiconductor,863-Z0109MNT1G,Triacs SENSITIVE GATE TRIAC,http://www.onsemi.com/pub/Collateral/AN1048-D.PDF
19,NXP,"TL431BIDBZR,215",Mouser,771-TL431BIDBZR215,TL431BIDBZR,U3,Voltage References Voltage References SHUNT REGULATOR 31SDT/SOT23/,,,1,15,,0,,,,,,Yes,,,,"TL431BIDBZR,215",NXP,771-TL431BIDBZR215,Voltage References SHUNT REGULATOR 31SDT/SOT23/,http://www.mouser.com/ds/2/302/TL431_FAM-354384.pdf
20,Diodes Incorporated,AP7313-33SRG-7,Mouser,621-AP7313-33SRG-7,621-AP7313-33SRG-7,U4,LDO Voltage Regulators LDO SOT-23R 3.3V/150MA,,,1,15,,0,,,,,,Yes,,,,AP7313-33SRG-7,Diodes Incorporated,621-AP7313-33SRG-7,LDO Voltage Regulators LDO SOT-23R 3.3V/150MA,http://www.mouser.com/ds/2/115/AP7313-82404.pdf
21,Analog Devices Inc.,ADUM6000ARIZ,Mouser,584-ADUM6000ARIZ,ADUM6000,U5,Isolated DC/DC Converters Isolated DC/DC Converters 5kV DC/DC Converter,,,1,15,,0,,,,,,Yes,,,,ADUM6000ARIZ,Analog Devices Inc.,584-ADUM6000ARIZ,Isolated DC/DC Converters 5kV DC/DC Converter,http://www.mouser.com/ds/2/609/ADuM6000-279415.pdf
22,Silicon Laboratories,Si8663BD-B-IS,Mouser,634-SI8663BD-B-IS,SI8663,U6,Digital Isolators Digital Isolators 6 Ch 5.0 kV Isolator 150M 3/3 WB,,,1,15,,0,,,,,,Yes,,,,Si8663BD-B-IS,Silicon Laboratories,634-SI8663BD-B-IS,Digital Isolators 6 Ch 5.0 kV Isolator 150M 3/3 WB,http://www.mouser.com/ds/2/368/Si866x-41125.pdf
23,Texas Instruments,SN74LS02D,Mouser,595-SN74LS02D,74LS02,U7,Logic Gates Logic Gates Quad 2 Input,,,1,15,,0,,,,,,Yes,,,,SN74LS02D,Texas Instruments,595-SN74LS02D,Logic Gates Quad 2 Input,http://www.ti.com/litv/pdf/sdya009c
24,Texas Instruments,SN74LS00D,Mouser,595-SN74LS00D,74LS00,U8,Logic Gates Logic Gates Quad 2 Input,,,1,15,,0,,,,,,Yes,,,,SN74LS00D,Texas Instruments,595-SN74LS00D,Logic Gates Quad 2 Input,http://www.ti.com/litv/pdf/sdya009c
25,Texas Instruments,SN74LS125AD,Mouser,595-SN74LS125AD,74LS125,U9,Buffers & Line Drivers Buffers & Line Drivers Tri-State Quad Bus,,,1,15,,0,,,,,,Yes,,,,SN74LS125AD,Texas Instruments,595-SN74LS125AD,Buffers & Line Drivers Tri-State Quad Bus,http://www.ti.com/litv/pdf/sdya009c
26,Kemet,T495D337K010ATE150,Mouser,80-T495D337K10ATE150,330uF,C73,Tantalum Capacitors - Solid SMD 10volts 330uF 10% ESR=150mOhms,,,1,15,,0,,,,,,Yes,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,SH,150,,,,,,,,,,,,,,
,,,,,,,,,,,,,150,,,,,,,,,,,,,,
